"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 30 00:07:41 NOVT 2022","Mon May 30 00:07:43 NOVT 2022","1437","tests","test_admin_login_page","TestAdminLoginPage","","","test_admin_login_failed",""
"passed","Mon May 30 00:10:01 NOVT 2022","Mon May 30 00:10:02 NOVT 2022","1314","tests","test_product_page","TestProductPage","","","test_view_product_images[Canon EOS 5D]",""
"passed","Mon May 30 00:09:17 NOVT 2022","Mon May 30 00:09:18 NOVT 2022","1125","tests","test_catalog_page","TestCatalogPage","","","test_select_sort_cameras[Name (A - Z)]",""
"passed","Mon May 30 00:09:05 NOVT 2022","Mon May 30 00:09:06 NOVT 2022","645","tests","test_catalog_page","TestCatalogPage","","","test_select_sort[Price (Low > High)]",""
"passed","Mon May 30 00:09:30 NOVT 2022","Mon May 30 00:09:30 NOVT 2022","24","tests","test_main_page","TestMainPage","","","test_if_at_page",""
"passed","Mon May 30 00:10:15 NOVT 2022","Mon May 30 00:10:17 NOVT 2022","1861","tests","test_register_account_page","TestRegisterAccountPage","","","test_try_register_account_with_errors[fname-First Name must be between 1 and 32 characters!]",""
"passed","Mon May 30 00:10:33 NOVT 2022","Mon May 30 00:10:33 NOVT 2022","724","tests","test_search_page","TestSearchFromMainPage","","","test_search_product[fail]",""
"passed","Mon May 30 00:07:37 NOVT 2022","Mon May 30 00:07:38 NOVT 2022","865","tests","test_admin_login_page","TestAdminLoginPage","","","test_admin_login[FAIL]",""
"passed","Mon May 30 00:09:52 NOVT 2022","Mon May 30 00:09:52 NOVT 2022","587","tests","test_product_page","TestProductPage","","","test_select_product_from_featured[3-canon-eos-5d]",""
"passed","Mon May 30 00:08:04 NOVT 2022","Mon May 30 00:08:04 NOVT 2022","803","tests","test_catalog_page","TestCatalogPage","","","test_navbar_with_subcats[item0-PC]",""
"passed","Mon May 30 00:07:35 NOVT 2022","Mon May 30 00:07:35 NOVT 2022","20","tests","test_admin_login_page","TestAdminLoginPage","","","test_if_at_page",""
"passed","Mon May 30 00:09:02 NOVT 2022","Mon May 30 00:09:02 NOVT 2022","630","tests","test_catalog_page","TestCatalogPage","","","test_view_grid",""
"passed","Mon May 30 00:10:25 NOVT 2022","Mon May 30 00:10:27 NOVT 2022","1951","tests","test_register_account_page","TestRegisterAccountPage","","","test_try_register_account_with_errors[password_1-Password must be between 4 and 20 characters!]",""
"passed","Mon May 30 00:08:35 NOVT 2022","Mon May 30 00:08:37 NOVT 2022","1305","tests","test_catalog_page","TestCatalogPage","","","test_menu[desktops-mac]",""
"passed","Mon May 30 00:09:23 NOVT 2022","Mon May 30 00:09:24 NOVT 2022","1201","tests","test_catalog_page","TestCatalogPage","","","test_select_sort_cameras[Rating (Highest)]",""
"passed","Mon May 30 00:08:16 NOVT 2022","Mon May 30 00:08:17 NOVT 2022","602","tests","test_catalog_page","TestCatalogPage","","","test_navbar[laptops-windows]",""
"passed","Mon May 30 00:07:45 NOVT 2022","Mon May 30 00:07:47 NOVT 2022","1759","tests","test_admin_login_page","TestAdminLoginPage","","","test_admin_reset_password_submit_valid_email",""
"passed","Mon May 30 00:09:09 NOVT 2022","Mon May 30 00:09:10 NOVT 2022","620","tests","test_catalog_page","TestCatalogPage","","","test_select_sort[Model (A - Z)]",""
"passed","Mon May 30 00:07:38 NOVT 2022","Mon May 30 00:07:41 NOVT 2022","2477","tests","test_admin_login_page","TestAdminLoginPage","","","test_admin_login_successful",""
"passed","Mon May 30 00:08:18 NOVT 2022","Mon May 30 00:08:18 NOVT 2022","323","tests","test_catalog_page","TestCatalogPage","","","test_navbar[components-components]",""
